Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50,1000,1902,1714,999,51107.62109,0.019547
2,1000,0.1,0.2,50,1000,1955,1753,999,50787.73828,0.01967
3,1000,0.1,0.2,50,1000,1914,1723,999,48906.94922,0.020427
4,1000,0.1,0.2,50,1000,1885,1686,999,48720.62109,0.020505
5,1000,0.1,0.2,50,1000,1847,1652,998,51843.63672,0.01925
6,1000,0.1,0.2,50,1000,1905,1715,999,49130.11328,0.020334
7,1000,0.1,0.2,50,1000,1914,1686,998,50227.53125,0.01987
8,1000,0.1,0.2,50,1000,1871,1709,999,51451.28516,0.019416
9,1000,0.1,0.2,50,1000,1970,1762,999,49054.49219,0.020365
10,1000,0.1,0.2,50,1000,1908,1724,999,49556.73047,0.020159
,,,,,,,,,,0.0199543
