Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,16421,3276,72,50801.19531,0.001417
2,1000,0.8,0.2,50,1000,15516,3135,283,50870.18359,0.005563
3,1000,0.8,0.2,50,1000,15664,3115,153,49280.08594,0.003105
4,1000,0.8,0.2,50,1000,16367,3404,82,50432.90234,0.001626
5,1000,0.8,0.2,50,1000,15118,3012,272,49238.76563,0.005524
6,1000,0.8,0.2,50,1000,15787,3232,86,49204.83203,0.001748
7,1000,0.8,0.2,50,1000,15357,3056,298,50022.15625,0.005957
8,1000,0.8,0.2,50,1000,15233,3072,301,50549.44531,0.005955
9,1000,0.8,0.2,50,1000,16147,3262,35,49082.67188,0.000713
10,1000,0.8,0.2,50,1000,15876,3174,332,52295.97266,0.006348
,,,,,,,,,,0.0037956
