Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50,1000,1866,1678,999,51165.99609,0.019525
2,1000,0.1,0.2,50,1000,1945,1760,999,50363.82813,0.019836
3,1000,0.1,0.2,50,1000,1953,1756,999,50002.125,0.019979
4,1000,0.1,0.2,50,1000,1898,1716,999,48883.69922,0.020436
5,1000,0.1,0.2,50,1000,1844,1672,999,50042.43359,0.019963
6,1000,0.1,0.2,50,1000,1861,1690,999,49514.96094,0.020176
7,1000,0.1,0.2,50,1000,1941,1744,998,49889.1875,0.020004
8,1000,0.1,0.2,50,1000,1916,1730,999,51142.58984,0.019534
9,1000,0.1,0.2,50,1000,1965,1748,999,48288.03906,0.020688
10,1000,0.1,0.2,50,1000,1927,1744,997,50269.40234,0.019833
,,,,,,,,,,0.0199974
